|TypeGraph.LaneDevMean|TypeGraph.LaneDevSD|TypeGraph.LaneDevMax|TypeGraph.DirChangeCount|TypeGraph.SteerAngleMean
0|0.15793833333333335|0.12988999743036786|0.78|211|0.09298000000000001
1|0.17499666666666666|0.13285094988257706|0.85|216|0.10557666666666667
2|0.14017666666666667|0.11504886568673703|0.62|213|0.07782833333333333
3|0.16244666666666666|0.12946006001882937|0.77|211|0.09464
4|0.171015|0.13076876482290747|1.04|211|0.10007833333333334
5|0.19844666666666666|0.15149173392123844|1.14|216|0.12292333333333333
6|0.15658833333333333|0.12031412958938792|0.76|214|0.09037
7|0.152965|0.11814687986797234|0.65|212|0.08671833333333333
8|0.14225666666666667|0.11733641987092887|0.81|208|0.07891166666666667
9|0.17283666666666667|0.14175907705755655|0.84|210|0.10009
10|0.17725333333333335|0.132476088941536|0.92|216|0.10715833333333334
11|0.163075|0.12823000765867568|1.03|214|0.09499166666666667
12|0.17878666666666668|0.14387289896779884|0.92|218|0.10636666666666666
13|0.15660833333333332|0.1282597170707132|1.07|213|0.09213333333333333
14|0.17856166666666667|0.13084189363787124|0.72|213|0.10398833333333334
15|0.18639166666666668|0.13939656319601534|0.85|216|0.11099333333333333
16|0.168595|0.13793481664880936|0.87|214|0.101975
17|0.17005666666666666|0.14494124596890767|1.03|215|0.10053000000000001
18|0.16575333333333334|0.14280755636606943|0.87|212|0.09828333333333333
19|0.16992833333333335|0.12604004342263567|0.73|214|0.09822166666666667
20|0.18096833333333334|0.14618940073538203|0.8|211|0.105835
21|0.14144333333333334|0.12346655736414394|0.96|211|0.07919333333333334
22|0.19446166666666667|0.14958433332410925|0.94|218|0.11910333333333334
23|0.169235|0.1423558064766108|0.95|212|0.10073666666666667
